
xml_document_id,ein,orgname,orgnamecrp,ultorg,document_link,dba,subsection_code,period_begin,period_end,change_addr_cbx,change_name_cbx,init_ret_cbx,final_ret_cbx,app_pend_cbx,tot_volunteers,all_year_employees,tot_rev_current,grants_orgs_us,expenses_total,phone,street,suite,city,state,country,zip,principal_name,firstname,middlename,lastname,suffix,web,org_type_corporation_cbx,org_type_trust_cbx,org_type_other_cbx,org_type_association_cbx,formation_year,legal_dom,efile,firm_name,firm_street,firm_city,firm_state,firm_phone,engaged_in_political_act_cbx,officer_loan_outstanding_cbx,officer_loan_provided_cbx,officer_business_rel_cbx,family_business_rel_cbx,officer_in_2orgs_cbx,related_org_cbx,own_controlled_entity_cbx,transfers_related_org_cbx,membership_dues,fundraising,related_orgs,gov_grants,contrib_other,contrib_noncash,contrib_all,service_revenue,total_comp_org,total_comp_related_org,total_comp_other,total_persons_100000,former_1a_cbx,anybody_150000_cbx,anybody_comp_unrelated_cbx,total_contractors,CASH_BOY,CASH_EOY,SAVINGS_BOY,SAVINGS_EOY,PLEDGES_GRANTS_BOY,PLEDGES_GRANTS_EOY,ACCOUNTS_RECEIVABLE_BOY,ACCOUNTS_RECEIVABLE_EOY,QUALIFIED_RECEIVABLE_BOY,QUALIFIED_RECEIVABLE_EOY,DISQUALIFIED_RECEIVABLE_BOY,DISQUALIFIED_RECEIVABLE_EOY,LOANS_RECEIVABLE_BOY,LOANS_RECEIVABLE_EOY,INVEST_PROGRAMS_BOY,INVEST_PROGRAMS_EOY,INTANG_ASSETS_BOY,INTANG_ASSETS_EOY,OTHER_ASSETS_BOY,OTHER_ASSETS_EOY,ASSETS_TOTAL_BOY,ASSETS_TOTAL_EOY,NET_ASSET_CHANGE,FUNDRAISING_MAIL_CBX,FUNDRAISING_EMAIL_CBX,FUNDRAISING_PHONE_CBX,FUNDRAISING_PERSON_CBX,FUNDRAISING_NON_GOV_GRANTS_CBX,FUNDRAISING_GOV_GRANTS_CBX,FUNDRAISING_SPECIAL_EVENTS_CBX,FUNDRAISING_PROF_CBX,FUNDRAISING_TOTAL_GROSS_RECEIPTS,TOTAL_PAID_TO_FUNDRAISER,FUNDRAISING_TOTAL_PAID_ORG,source,mark,orgid,cmteid,filingid,realcode,codesource,displayyear,expoutcands,recipfectot,recipfecattrib,schc,schCtot,dupe
9999639,272429741,CENTER FORWARD,Center Forward,,https://www.documentcloud.org/documents/1375708-center-forward-2013.html,,04,2013-01-01 00:00:00,2013-12-31 00:00:00,,,,,x,0,1,1694735,0,547288,202-550-0888,325 7th Street NW,,Washington,DC,USA,20004,Jeffries Murray,Jeffries,,Murray,,center-forward.org,y,,,,2010,DC,,Mark Heinitz,6433 Burwell Street,Springfield,VA,,n,,,,,,,n,,,,,,1694050,,1694050,,233177,,7391,1,,,,,131973,1280092,,,,,,,,,,,,,,,,,,,134347,1285411,,,,,,,,,,,,,OS,a,,,11597,,,2013,0,0,0,n,,
9999455,452600535,American Commitment,American Commitment,,https://www.documentcloud.org/documents/3222742-American-Commitment-2015-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,x,,,,,,4,541422,0,532219,202-656-2193,1300 Pennsylvania Ave NW,190-406,Washington,DC,USA,20004,Phil Kerpen,,,,,www.americancommitment.com,y,,,,2011,FL,,McGladrey LLP,9737 Washingtonian Blvd Suite 400,Gaithersburg,MD,301-296-3496,,,,,,,,,,,,,,541422,,541422,,261412,0,0,1,,y,,0,565887,577325,,,,,,,,,,,,,,,,,,,566031,577411,,,,,,,,,,,,,os,a,,,12202,,,,,,,,,
9999454,262046485,WELLSPRING COMMITTEE INC,Wellspring Cmte,,https://www.documentcloud.org/documents/3222201-Wellspring-Committee-2015-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,,2,9350040,8966884,8966884,571-247-3688,8865 SUDLEY ROAD,182,MANASSAS,VA,USA,20110,ANN CORKERY,Ann,,Corkery,,,Y,,,,2008,VA,,CONLON & ASSOCIATES LLC,P. O. BOX 6213,SILVER SPRING,MD,301-598-6851,,,,,,,,,,,,,,9350000,,,,120000,0,0,1,n,n,n,1,85322,334358,,,,,,,,,,,,,,,,,,,190191,573347,,,,,,,,,,,,,os,x,,,12203,Y4000,,2015,,,,,,
9999638,274395336,Free Enterprise America,Free Enterprise America,,http://990s.foundationcenter.org/990_pdf_archive/274/274395336/274395336_201205_990EO.pdf?_ga=1.131708428.2093036525.1476740035,,04,2012-01-01 00:00:00,2012-05-02 00:00:00,,,,x,,0,0,145,0,170,602-820-4600,2198 E Camelback Rd Ste 325,,Phoenix,AZ,USA,85016,Sean Noble,Sean,,Noble,,,y,,,,,,,Howard Sckolnik,11646 N 129th Way,Scottsdale,AZ,602-524-0974,n,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,11831,,,2011,0,0,0,n,,
9999637,274395336,Free Enterprise America,Free Enterprise America,,https://www.documentcloud.org/documents/690450-free-enterprise-america-2011.html,,04,2011-01-01 00:00:00,2011-12-31 00:00:00,,,,,,0,0,5874087,5198000,5874062,602-820-4600,2198 E Camelback Rd Ste 325,,Phoenix,AZ,USA,85016,Sean Noble,Sean,,Noble,,,y,,,,2010,VA,,Howard Sckolnik,11646 N 129th Way,Scottsdale,AZ,602-524-0974,n,,,,,,,,,,,,,5872745,,5872745,,,,,,,,,1,0,25,,,,,,,,,,,,,,,,,,,0,25,,,,,,,,,,,,,OS,a,,,10391,,,2011,0,14476,14476,n,,
9999453,530241211,Pharmaceutical Rsrch & Mfrs of America,Pharmaceutical Rsrch & Mfrs of America,,https://www.documentcloud.org/documents/3221518-Phrma-2015-990.html,PHRMA,06,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,3021,224,220251370,18205734,224949269,202-835-3400,950 F STREET NW,300,WASHINGTON,DC,USA,20004,JOHN J CASTELLANI,,,,,WWW.PHRMA.ORG,Y,,,,1958,DE,,,,,,,,,,,,,,,,,,,,,,,,14558793,25005,1405631,138,n,y,n,202,,,75043718,113906660,,,,,,,,,,,,,,,214612,58783,135545781,171355423,,,,,,,,,,,,,os,x,D000000504,C00021972,,H4300,,2015,,,,,,
9999452,208802884,Everytown for Gun Safety Action Fund,Mayors Against Illegal Guns Action Fund,,https://www.documentcloud.org/documents/3222051-EGSAF-2015-Signed-Public-Disclosure-Copy.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,1829422,184,39456796,1864340,41570147,646-324-8250,P.O. BOX 4184,,NEW YORK,NY,USA,10163,JOHN FEINBLATT,,,,,WWW.EVERYTOWN.ORG,y,,,,2007,DE,,GELLER & COMPANY LLC,P. O. BOX 1510,NEW YORK,NY,212-583-6066,Y,,,,,,,,,,,,,39330989,,39330989,,1404412,0,139586,29,N,Y,N,48,1260667,2701317,3355534,8859,,,,,,,,,,,,,243578,350574,,,6722374,5317574,,,,,,,,,,,,,os,,D000027471,C30000897,12204,J6100,PAC,2015,,,,,,
9999636,452600535,American Commitment,American Commitment,,https://www.documentcloud.org/documents/836821-american-commitment-2012.html,,04,2012-01-01 00:00:00,2012-12-31 00:00:00,,,,,,0,3,11722834,0,11554018,202-656-2193,1300 Pennsylvania Ave NW,190-406,Washington,DC,USA,20004,Phil Kerpen,Phil,,Kerpen,,www.americancommitment.com,y,,,,2011,FL,,McGladrey LLP,9737 Washingtonian Blvd Suite 400,Gaithersburg,MD,301-296-3496,y,,,,,,,,,,,,,,,,,174000,0,0,,,,,5,1345,176261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,11251,,,2012,1858765,0,0,y,1858766,
9999635,452600535,American Commitment,American Commitment,,https://www.documentcloud.org/documents/540823-americancommitment-2011.html,,04,2011-01-01 00:00:00,2011-12-31 00:00:00,x,x,x,,,0,0,216500,110250,215155,202-656-2193,1300 Pennsylvania Ave NW,190-406,Washington,DC,USA,20004,Phil Kerpen,Phil,,Kerpen,,www.americancommitment.com,y,,,,2011,FL,,McGladrey LLP,9737 Washingtonian Blvd Suite 400,Gaithersburg,MD,301-296-3496,n,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,10390,,,2011,0,0,0,n,,
9999451,530045720,Chamber of Commerce of the USA,US Chamber of Commerce,,,,06,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,,470,174119090,,175893100,202-463-5590,1615 H Street NW,,Washington,DC,USA,20062-2000,Stan M Harrell,,,,,www.uschamber.com,Y,,,,1915,DC,,Ernst and Young US LLP,111 Monument Circle Ste 4000,Indianapolis,,317-681-7000,Y,,,,,,,,,,,,,157224944,,164905490,,26841339,,344322,193,Y,Y,N,76,22309258,15791384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,os,,,,,,,,,,,,,
9999977,061309773,PLANNED PARENTHOOD OF CT PUBLIC POLICY,Planned Parenthood Votes! Connecticut   ,,http://www.guidestar.org/FinDocuments/2008/061/309/2008-061309773-043ec22c-9O.pdf,,04,2007-04-01 00:00:00,2008-03-31 00:00:00,,,,,,0,0,43124,0,29233,,,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10199,,,2007,0,0,0,,,
9999976,061309773,PLANNED PARENTHOOD OF CT PUBLIC POLICY,Planned Parenthood Votes! Connecticut   ,,http://www.guidestar.org/FinDocuments/2009/061/309/2009-061309773-05475428-ZO.pdf,,04,2008-04-01 00:00:00,2009-03-31 00:00:00,,,,,,0,0,83419,0,75810,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10225,,,2008,0,0,0,n,,
9999634,452600535,American Commitment,American Commitment,,https://www.documentcloud.org/documents/1363434-american-commitment-2013-irs-form-990-public.html,,04,2013-01-01 00:00:00,2013-12-31 00:00:00,,,,,,0,4,1024347,135000,917906,202-656-2193,1300 Pennsylvania Ave NW,190-406,Washington,DC,USA,20004,Phil Kerpen,Phil,,Kerpen,,www.americancommitment.com,y,,,,2011,FL,,McGladrey LLP,9737 Washingtonian Blvd Suite 400,Gaithersburg,MD,301-296-3496,y,,,,,,,,,,,,,,,,,200000,0,0,,,,,1,176261,276362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,11834,,,2013,136204,0,0,y,,
9999633,452600535,American Commitment,American Commitment,,https://www.documentcloud.org/documents/2515738-american-commitment-2014-990.html,,04,2014-01-01 00:00:00,2014-12-31 00:00:00,,,,,,0,4,2291510,242500,2001081,202-656-2193,1300 Pennsylvania Ave NW,190-406,Washington,DC,USA,20004,Phil Kerpen,Phil,,Kerpen,,www.americancommitment.com,y,,,,2011,FL,,McGladrey LLP,9737 Washingtonian Blvd Suite 400,Gaithersburg,MD,301-296-3496,y,,,,,,,,,,,,,,,,,200000,0,0,,,,,2,276362,565887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,12145,,,2014,60000,0,0,y,60000,
9999975,270273223,MAIN STREET ADVOCACY FUND,Main Street Advocacy,,http://www.guidestar.org/FinDocuments/2013/270/273/2013-270273223-0a7d64ae-9O.pdf,,04,2013-01-01 00:00:00,2013-12-31 00:00:00,,,,,,0,0,744250,50000,222767,202-393-4353,325 7th Street NW,610,Washington,DC,USA,20004,Sarah Chamberlain,Sarah,,Chamberlain,,,y,,,,2009,DC,,Gilbert & Wolfand PC,2201 Wisconsin Ave NW,Washington,DC,,y,,,,,,,n,,,,,,744250,,744250,,0,338200,0,,,x,,,690511,711994,,,,,,,,,,,,,,,,,,,690511,711994,,,,,,,,,,,,,OS,a,,,11577,,,2013,0,0,0,y,,
9999974,270273223,MAIN STREET ADVOCACY FUND,Main Street Advocacy,,,,04,2009-06-19 00:00:00,2009-12-31 00:00:00,x,x,x,,,0,0,5010,0,42,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10695,,,2009,0,0,0,n,,
9999973,270273223,MAIN STREET ADVOCACY FUND,Main Street Advocacy,,,,04,2011-01-01 00:00:00,2011-12-31 00:00:00,,,,,,0,0,0,0,2118,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10696,,,2011,0,0,0,n,,
9999632,460679183,Northwest Colorado Alliance,Northwest Colorado Alliance,,http://990s.foundationcenter.org/990_pdf_archive/460/460679183/460679183_201212_990EO.pdf?_ga=1.22671800.2093036525.1476740035,,04,2012-01-01 00:00:00,2012-12-31 00:00:00,,,x,,,0,0,58435,0,52950,970-241-7701,700 Seventeenth Street,2000,Denver,CO,USA,80202,Erik Groves,Erik,,Groves,,,y,,,,,,,Dalby, Wendland & Co,PO Box 430,Grand Junction,CO,,n,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,11791,,,2012,0,0,0,n,,
9999631,521369152,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,Citizens Against Government Waste,,,,,2009-01-01 00:00:00,2009-12-31 00:00:00,,,,,,0,0,764944,0,634391,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10921,,,2009,0,0,0,n,,
9999630,521369152,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,Citizens Against Government Waste,,,,,2011-01-01 00:00:00,2011-12-31 00:00:00,,,,,,0,0,332413,0,344228,,,,,,USA,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,11020,,,2011,0,0,0,y,0,
9999972,270273223,MAIN STREET ADVOCACY FUND,Main Street Advocacy,,,,04,2010-01-01 00:00:00,2010-12-31 00:00:00,,,,,,0,0,70000,0,58435,,,,,,USA,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10697,,,2010,0,0,0,y,12940,
9999971,270273223,MAIN STREET ADVOCACY FUND,Main Street Advocacy,,http://990s.foundationcenter.org/990_pdf_archive/270/270273223/270273223_201212_990O.pdf?_ga=1.59970222.2093036525.1476740035,,04,2012-01-01 00:00:00,2012-12-31 00:00:00,,,,,,0,0,955000,16000,278904,202-393-4353,325 7th Street NW,610,Washington,DC,USA,20004,Sarah Chamberlain,Sarah,,Chamberlain,,,y,,,,2009,DC,,Gilbert & Wolfand PC,2201 Wisconsin Ave NW,Washington,DC,,,,,,,,,,,,,,,955000,,955000,,35000,253000,0,,,x,,0,14415,690511,,,,,,,,,,,,,,,,,,,14415,690511,,,,,,,,,,,,,OS,a,,,11392,,,2012,18303,0,0,,,
9999970,273038521,BULL MOOSE SPORTSMEN,Bull Moose Sportsmen's Alliance,,http://990s.foundationcenter.org/990_pdf_archive/273/273038521/273038521_201212_990O.pdf?_ga=1.132755725.2093036525.1476740035,,04,2011-01-01 00:00:00,2011-12-31 00:00:00,x,x,,,,4,0,259321,0,185837,303-534-2855,PO Box 3394,,Idaho Springs,CO,USA,80452,Tim Mauk,Tim,,Mauk,,bullmoosesportsmen.org,y,,,,2010,CO,,Bivins & Bunyak CPAs,2460 W 26th Ave Ste 465C,Denver,CO,303-578-0285,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,10339,,,2011,0,0,0,n,,
9999629,521369152,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,Citizens Against Government Waste,,,,,2010-01-01 00:00:00,2010-12-31 00:00:00,,,,,,0,0,587929,0,588734,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,11021,,,2010,0,0,0,n,,
9999628,521369152,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,Citizens Against Government Waste,,,,,2007-01-01 00:00:00,2007-12-31 00:00:00,,,,,,0,0,413434,0,471733,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,11022,,,2007,0,0,0,n,,
9999627,521369152,COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,Citizens Against Government Waste,,,,,2013-01-01 00:00:00,2013-12-31 00:00:00,,,,,,0,0,284338,0,397637,,,,,,USA,,,,,,,,,,,,,,,,,,,,y,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,11539,,,2013,0,0,0,y,0,
9999959,134342661,ENVIRONMENT NEW MEXICO INC,Environment New Mexico,,,,,2010-07-01 00:00:00,2011-06-30 00:00:00,,,,,,0,3,407140,0,399084,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10557,,,2010,0,0,0,n,,
9999958,134342661,ENVIRONMENT NEW MEXICO INC,Environment New Mexico,,,,,2009-07-01 00:00:00,2010-06-30 00:00:00,,,,,,0,0,376062,10179,342175,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10558,,,2009,0,0,0,n,,
9999957,208234453,NEW JERSEY FAMILY FIRST INCORPORATED,New Jersey Family First,,http://pdfs.citizenaudit.org/2008_07_EO/20-8234453_990EO_200712.pdf,,04,2007-01-01 00:00:00,2007-12-31 00:00:00,,,x,,,0,0,20000,0,2146,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10611,,,2007,0,0,0,n,,
